,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
135,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,205",1500 to 1600,Dec-19,2020-01-22 02:07:14.632405
136,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"2,925",1500 to 1600,Dec-19,2020-01-22 02:07:14.657408
137,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,486",1500 to 1600,Nov-19,2020-01-22 02:07:14.681411
138,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,3,"5,523",>3000,Nov-19,2020-01-22 02:07:14.712411
139,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,205",1500 to 1600,Nov-19,2020-01-22 02:07:14.740412
140,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,672",1500 to 1600,Nov-19,2020-01-22 02:07:14.775416
141,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,626",1500 to 1600,Nov-19,2020-01-22 02:07:14.804418
142,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,439",1500 to 1600,Nov-19,2020-01-22 02:07:14.830686
143,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,439",1500 to 1600,Oct-19,2020-01-22 02:07:14.856688
144,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,3,"5,533",>3000,Oct-19,2020-01-22 02:07:14.880726
145,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,672",1500 to 1600,Oct-19,2020-01-22 02:07:14.907420
146,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"3,719",1500 to 1600,Oct-19,2020-01-22 02:07:14.933066
147,336 RIVER VALLEY,RIVER VALLEY ROAD,09,Non-landed Properties,2,"2,925",1500 to 1600,Oct-19,2020-01-22 02:07:14.959067
148,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"2,950",800 to 900,Dec-19,2020-01-22 02:07:15.158815
149,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,700",600 to 700,Dec-19,2020-01-22 02:07:15.185689
150,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,2,"3,100",800 to 900,Dec-19,2020-01-22 02:07:15.236692
151,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"3,100",600 to 700,Dec-19,2020-01-22 02:07:15.274694
152,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,600",600 to 700,Dec-19,2020-01-22 02:07:15.300698
153,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,1,"2,550",600 to 700,Dec-19,2020-01-22 02:07:15.333701
154,368 THOMSON,THOMSON ROAD,11,Non-landed Properties,4,"6,600",1700 to 1800,Nov-19,2020-01-22 02:07:15.358701
